time,open,high,low,close
1499040000,1.14234,1.14248,1.14157,1.14172
1499043600,1.14172,1.14201,1.14146,1.14163
1499047200,1.14162,1.14198,1.14122,1.14136
1499050800,1.14136,1.14168,1.14041,1.14041
1499054400,1.14042,1.14156,1.14036,1.14131
1499058000,1.14129,1.1415,1.14075,1.14077
1499061600,1.14077,1.14141,1.14036,1.14115
1499065200,1.14116,1.14116,1.13923,1.13948
1499068800,1.13947,1.13948,1.1377,1.13789
1499072400,1.13788,1.13856,1.13728,1.13731
1499076000,1.13731,1.13793,1.13708,1.13748
1499079600,1.13749,1.13774,1.13613,1.13645
1499083200,1.13645,1.13755,1.13619,1.13677
1499086800,1.13677,1.13729,1.1358,1.13716
1499090400,1.1362,1.13736,1.13594,1.13679
1499094000,1.13679,1.13698,1.1356,1.13666
1499097600,1.13666,1.13719,1.1355,1.1357
1499101200,1.13573,1.13685,1.13564,1.13611
1499104800,1.13612,1.13612,1.13565,1.13582
1499108400,1.13583,1.1363,1.13575,1.13628
1499112000,1.13628,1.13669,1.13622,1.13641
1499115600,1.13638,1.13658,1.13568,1.13638
1499119200,1.13638,1.13706,1.1363,1.13668
1499122800,1.13667,1.13733,1.13667,1.13723
1499126400,1.13723,1.13769,1.13707,1.13738
1499130000,1.13737,1.13741,1.13673,1.13688
1499133600,1.13688,1.137,1.13636,1.1366
1499137200,1.13661,1.13738,1.13655,1.13726
1499140800,1.13726,1.13741,1.13684,1.1372
1499144400,1.1372,1.13726,1.13359,1.13484
1499148000,1.13483,1.13725,1.13435,1.13723
1499151600,1.13724,1.13744,1.13562,1.13616
1499155200,1.13616,1.13635,1.13471,1.13538
1499158800,1.13537,1.13543,1.13422,1.13497
1499162400,1.13498,1.13528,1.13465,1.13515
1499166000,1.13515,1.13515,1.13418,1.13504
1499169600,1.13505,1.13554,1.13398,1.13427
1499173200,1.1343,1.1348,1.13379,1.13446
1499176800,1.13446,1.13539,1.13415,1.13516
1499180400,1.13514,1.13527,1.13452,1.13474
1499184000,1.13476,1.1352,1.1343,1.1351
1499187600,1.13509,1.13532,1.13466,1.13511
1499191200,1.1351,1.13526,1.13475,1.13503
1499194800,1.13503,1.13511,1.13452,1.1346
1499198400,1.13459,1.13497,1.13427,1.13427
1499202000,1.13413,1.1349,1.13409,1.13467
1499205600,1.13467,1.13555,1.13448,1.13531
1499209200,1.13531,1.13608,1.13515,1.13595
1499212800,1.13596,1.13644,1.13543,1.13587
1499216400,1.13586,1.13677,1.13555,1.13668
1499220000,1.13668,1.13685,1.1361,1.13626
1499223600,1.13627,1.13627,1.13567,1.13587
1499227200,1.13587,1.13587,1.13531,1.13543
1499230800,1.13545,1.13571,1.13494,1.13532
1499234400,1.13532,1.13666,1.13532,1.13598
1499238000,1.136,1.1368,1.13579,1.13631
1499241600,1.13633,1.13646,1.13408,1.13417
1499245200,1.13415,1.1344,1.13175,1.1324
1499248800,1.13238,1.13275,1.13123,1.13211
1499252400,1.13211,1.13369,1.13196,1.13321
1499256000,1.13324,1.13347,1.13181,1.13204
1499259600,1.13205,1.13301,1.13179,1.13299
1499263200,1.13297,1.1337,1.13255,1.1329
1499266800,1.1329,1.1344,1.13273,1.13355
1499270400,1.13356,1.13406,1.13294,1.13383
1499274000,1.13382,1.13436,1.13351,1.13405
1499277600,1.13407,1.13569,1.13225,1.13409
1499281200,1.13411,1.13516,1.13379,1.13422
1499284800,1.1342,1.13522,1.13419,1.13513
1499288400,1.13512,1.13518,1.13476,1.13506
1499292000,1.13506,1.13549,1.13501,1.13532
1499295600,1.13531,1.13537,1.13461,1.13464
1499299200,1.13465,1.13465,1.13355,1.13418
1499302800,1.13417,1.13447,1.133,1.13321
1499306400,1.13322,1.13396,1.13299,1.13375
1499310000,1.13375,1.13426,1.13369,1.13381
1499313600,1.13381,1.13394,1.13367,1.13391
1499317200,1.13392,1.1342,1.13375,1.13378
1499320800,1.13379,1.13418,1.13309,1.13416
1499324400,1.13417,1.13571,1.13413,1.13517
1499328000,1.13518,1.13546,1.13439,1.1349
1499331600,1.1349,1.137,1.13443,1.13641
1499335200,1.13642,1.13736,1.13575,1.13655
1499338800,1.13655,1.13874,1.13613,1.13867
1499342400,1.13864,1.13975,1.13789,1.13905
1499346000,1.13905,1.14017,1.13815,1.14
1499349600,1.13992,1.14059,1.13928,1.14054
1499353200,1.14052,1.14069,1.13982,1.14066
1499356800,1.14068,1.14197,1.14067,1.14195
1499360400,1.14195,1.14244,1.14156,1.1423
1499364000,1.1423,1.14239,1.1419,1.14225
1499367600,1.14225,1.14234,1.14175,1.14198
1499371200,1.142,1.14247,1.14181,1.14229
1499374800,1.14221,1.14242,1.14181,1.14215
1499378400,1.14216,1.14243,1.14182,1.1422
1499382000,1.1422,1.14254,1.1419,1.14212
1499385600,1.14212,1.14219,1.14133,1.14154
1499389200,1.14153,1.14241,1.14099,1.14116
1499392800,1.14116,1.14142,1.14085,1.14138
1499396400,1.14138,1.1416,1.14114,1.14136
1499400000,1.14136,1.14201,1.1413,1.1415
1499403600,1.14149,1.14184,1.1407,1.14075
1499407200,1.14075,1.14191,1.14069,1.14147
1499410800,1.14146,1.14276,1.14129,1.14194
1499414400,1.14195,1.14247,1.1412,1.14218
1499418000,1.14218,1.14251,1.14127,1.14145
1499421600,1.14144,1.14156,1.1406,1.14115
1499425200,1.14114,1.14193,1.14071,1.14077
1499428800,1.1408,1.14398,1.13869,1.14018
1499432400,1.14018,1.14049,1.13806,1.13977
1499436000,1.13978,1.14014,1.13796,1.13917
1499439600,1.13918,1.13961,1.13864,1.1396
1499443200,1.13959,1.14087,1.13959,1.14081
1499446800,1.14079,1.14106,1.14011,1.14039
1499450400,1.14039,1.14058,1.14008,1.14029
1499454000,1.14028,1.14079,1.14016,1.14046
1499457600,1.14045,1.14047,1.13979,1.13996
1499644800,1.14032,1.14035,1.13979,1.14005
1499648400,1.14006,1.14083,1.13993,1.1408
1499652000,1.1408,1.14084,1.14043,1.14051
1499655600,1.14051,1.1406,1.14019,1.14045
1499659200,1.14045,1.14055,1.14004,1.14037
1499662800,1.14038,1.1409,1.14019,1.1409
1499666400,1.1409,1.14097,1.1397,1.13987
1499670000,1.13987,1.1418,1.13967,1.14158
1499673600,1.14159,1.14167,1.13928,1.13956
1499677200,1.13961,1.13978,1.13821,1.13853
1499680800,1.13854,1.13939,1.13829,1.13908
1499684400,1.1391,1.13924,1.13817,1.13884
1499688000,1.13887,1.13937,1.13828,1.1392
