time,open,high,low,close
1597125600,2.85000000,3.47000000,2.85000000,2.95150000
1597129200,2.95150000,3.13550000,2.88000000,2.92240000
1597132800,2.96260000,3.00000000,2.91440000,2.96000000
1597136400,2.96000000,2.97360000,2.85000000,2.85430000
1597140000,2.85660000,2.93290000,2.84330000,2.89760000
1597143600,2.91670000,3.10000000,2.90150000,3.04970000
1597147200,3.04970000,3.32900000,3.04880000,3.11110000
1597150800,3.11100000,3.27680000,2.86250000,3.27680000
1597154400,3.27870000,3.52080000,3.07440000,3.24990000
1597158000,3.24990000,3.39260000,3.15000000,3.19000000
1597161600,3.17510000,3.35950000,3.11430000,3.24750000
1597165200,3.24750000,3.38400000,3.24750000,3.29780000
1597168800,3.30000000,3.30470000,3.21000000,3.26760000
1597172400,3.26760000,3.27540000,3.15500000,3.18860000
1597176000,3.19380000,3.20300000,2.95000000,3.07740000
1597179600,3.07750000,3.24950000,3.07000000,3.21840000
1597183200,3.21280000,3.25000000,3.08000000,3.20610000
1597186800,3.20370000,3.31910000,3.20000000,3.29850000
1597190400,3.29850000,3.29850000,3.09000000,3.11270000
1597194000,3.10640000,3.32000000,3.08000000,3.23200000
1597197600,3.23110000,3.25750000,3.13170000,3.13170000
1597201200,3.13170000,3.30000000,3.11290000,3.28020000
1597204800,3.28020000,3.29530000,3.15000000,3.26110000
1597208400,3.24780000,3.24780000,3.17690000,3.22960000
1597212000,3.21920000,3.26410000,3.13230000,3.25380000
1597215600,3.25380000,3.36610000,3.21210000,3.36610000
1597219200,3.35770000,3.52000000,3.35000000,3.45030000
1597222800,3.45030000,3.70000000,3.40010000,3.66690000
1597226400,3.66800000,3.91760000,3.50150000,3.90490000
1597230000,3.90490000,3.92890000,3.64910000,3.68420000
1597233600,3.67330000,3.77560000,3.65300000,3.67550000
1597237200,3.67600000,3.85540000,3.64340000,3.74500000
1597240800,3.75730000,3.90000000,3.74600000,3.81000000
1597244400,3.82720000,3.85000000,3.70000000,3.76780000
1597248000,3.77040000,3.78890000,3.65000000,3.75690000
1597251600,3.74530000,3.76780000,3.65050000,3.74460000
1597255200,3.71950000,3.84230000,3.67620000,3.70180000
1597258800,3.70980000,3.74410000,3.60000000,3.67880000
1597262400,3.67880000,3.79400000,3.66520000,3.71420000
1597266000,3.71420000,3.74000000,3.70000000,3.72070000
1597269600,3.72080000,3.82250000,3.67290000,3.69300000
1597273200,3.67320000,3.75590000,3.67320000,3.75580000
1597276800,3.75000000,3.85120000,3.74280000,3.77030000
1597280400,3.77030000,3.80000000,3.68860000,3.76010000
1597284000,3.77290000,3.77710000,3.55370000,3.64570000
1597287600,3.64490000,3.81280000,3.62280000,3.75930000
1597291200,3.74040000,3.93640000,3.64360000,3.68220000
1597294800,3.68650000,3.85000000,3.62430000,3.74580000
1597298400,3.75470000,3.89970000,3.72490000,3.89970000
1597302000,3.89140000,4.13870000,3.87800000,4.07850000
1597305600,4.09460000,4.12220000,3.65000000,3.73300000
1597309200,3.73000000,3.95000000,3.50030000,3.83870000
1597312800,3.84170000,3.95000000,3.79800000,3.87490000
1597316400,3.87510000,3.99990000,3.75900000,3.87000000
1597320000,3.87000000,3.92420000,3.81030000,3.89700000
1597323600,3.89790000,3.97640000,3.87050000,3.94530000
1597327200,3.97340000,4.05550000,3.88880000,3.94160000
1597330800,3.92920000,3.96000000,3.80000000,3.80650000
1597334400,3.80650000,3.91230000,3.76980000,3.90190000
1597338000,3.90160000,3.96450000,3.79090000,3.81180000
1597341600,3.82250000,3.86990000,3.79000000,3.83000000
1597345200,3.82010000,3.86180000,3.80950000,3.85660000
1597348800,3.85490000,3.87000000,3.70000000,3.70000000
1597352400,3.72510000,3.74700000,3.60680000,3.63560000
1597356000,3.62290000,3.76960000,3.53850000,3.75030000
1597359600,3.76860000,3.81180000,3.70020000,3.73000000
1597363200,3.72070000,3.76760000,3.63250000,3.63830000
1597366800,3.63830000,3.67400000,3.60680000,3.63480000
1597370400,3.63480000,3.65110000,3.57170000,3.61180000
1597374000,3.59730000,3.64790000,3.58000000,3.62500000
1597377600,3.62510000,3.66440000,3.59000000,3.66440000
1597381200,3.65020000,3.75170000,3.65010000,3.67590000
1597384800,3.67580000,3.69240000,3.64250000,3.66160000
1597388400,3.66170000,3.68960000,3.50000000,3.55000000
1597392000,3.53270000,3.56130000,3.46280000,3.52500000
1597395600,3.52490000,3.52790000,3.42670000,3.51110000
1597399200,3.51110000,3.70000000,3.51110000,3.69300000
1597402800,3.69990000,3.75980000,3.64000000,3.71730000
1597406400,3.70360000,3.71330000,3.55990000,3.56000000
1597410000,3.56000000,3.57530000,3.51060000,3.57110000
1597413600,3.55900000,3.70000000,3.54000000,3.56150000
1597417200,3.57150000,3.61930000,3.55010000,3.57880000
1597420800,3.57530000,3.58810000,3.50000000,3.50000000
1597424400,3.50000000,3.50250000,3.32700000,3.40310000
1597428000,3.39470000,3.43850000,3.32750000,3.38410000
1597431600,3.38140000,3.39270000,3.32100000,3.37920000
1597435200,3.37920000,3.42510000,3.35980000,3.42500000
1597438800,3.41370000,3.46930000,3.41360000,3.45280000
1597442400,3.46600000,3.48970000,3.35000000,3.36770000
1597446000,3.36760000,3.41930000,3.33210000,3.40990000
1597449600,3.41810000,3.42420000,3.18740000,3.27560000
1597453200,3.28300000,3.33210000,3.27140000,3.27820000
1597456800,3.27830000,3.33580000,3.27830000,3.31550000
1597460400,3.31400000,3.34850000,3.31400000,3.32890000
1597464000,3.33050000,3.34380000,3.21370000,3.22790000
1597467600,3.23010000,3.57130000,3.16300000,3.41990000
1597471200,3.42000000,3.51510000,3.40980000,3.45700000
1597474800,3.46270000,3.56210000,3.45600000,3.52150000
1597478400,3.52160000,3.55980000,3.52150000,3.54460000
1597482000,3.54460000,3.74000000,3.54460000,3.68860000
1597485600,3.68860000,3.70000000,3.48520000,3.48520000
1597489200,3.48470000,3.54380000,3.44770000,3.45000000
1597492800,3.45270000,3.46390000,3.42000000,3.43300000
1597496400,3.42480000,3.48520000,3.38000000,3.40440000
1597500000,3.41670000,3.45290000,3.40540000,3.44700000
1597503600,3.44690000,3.46970000,3.43040000,3.43240000
1597507200,3.45470000,3.46270000,3.40820000,3.41540000
1597510800,3.42590000,3.46540000,3.39490000,3.39490000
1597514400,3.41430000,3.43800000,3.35000000,3.37640000
1597518000,3.37640000,3.40480000,3.34000000,3.36840000
1597521600,3.36840000,3.38770000,3.36560000,3.37040000
1597525200,3.37000000,3.47270000,3.18000000,3.24630000
1597528800,3.23470000,3.27130000,3.19430000,3.25580000
1597532400,3.26700000,3.27380000,3.15000000,3.17300000
1597536000,3.17300000,3.24990000,3.17000000,3.24140000
1597539600,3.23190000,3.26020000,3.17000000,3.20460000
1597543200,3.18550000,3.23840000,3.12000000,3.14630000
1597546800,3.13680000,3.23500000,3.12440000,3.19550000
1597550400,3.19200000,3.26020000,3.16970000,3.24360000
1597554000,3.24030000,3.49070000,3.24020000,3.31780000
1597557600,3.30760000,3.43840000,3.30000000,3.43210000
1597561200,3.43230000,3.47000000,3.33000000,3.44010000
1597564800,3.44010000,3.46260000,3.35010000,3.35300000
1597568400,3.35290000,3.40730000,3.34550000,3.39570000
1597572000,3.39200000,3.47000000,3.35940000,3.39550000
1597575600,3.39540000,3.42630000,3.34000000,3.41930000
1597579200,3.41930000,3.44270000,3.35030000,3.37530000
1597582800,3.36290000,3.37530000,3.34000000,3.35940000
1597586400,3.34800000,3.42000000,3.34800000,3.39260000
1597590000,3.39280000,3.43390000,3.37050000,3.38720000
1597593600,3.39110000,3.44150000,3.37900000,3.42500000
1597597200,3.42500000,3.46280000,3.42150000,3.44690000
1597600800,3.44690000,3.47260000,3.43340000,3.45800000
1597604400,3.45800000,3.47260000,3.40390000,3.40710000
1597608000,3.41150000,3.44260000,3.40100000,3.42540000
1597611600,3.41210000,3.43080000,3.36380000,3.37560000
1597615200,3.39130000,3.39700000,3.36000000,3.38690000
1597618800,3.36740000,3.39040000,3.36010000,3.38850000
