time,open,high,low,close
1458777600,112.422,112.55,112.294,112.535
1458781200,112.532,112.822,112.519,112.789
1458784800,112.788,112.854,112.701,112.766
1458788400,112.767,112.796,112.653,112.697
1458792000,112.699,112.818,112.665,112.76
1458795600,112.763,112.877,112.763,112.807
1458799200,112.806,112.856,112.733,112.841
1458802800,112.841,113.006,112.772,112.852
1458806400,112.853,112.951,112.796,112.903
1458810000,112.901,112.91,112.73,112.742
1458813600,112.74,112.753,112.566,112.632
1458817200,112.632,112.743,112.617,112.734
1458820800,112.734,112.738,112.402,112.514
1458824400,112.514,112.573,112.403,112.451
1458828000,112.45,112.561,112.371,112.544
1458831600,112.542,112.652,112.504,112.638
1458835200,112.639,112.759,112.639,112.664
1458838800,112.664,112.752,112.643,112.722
1458842400,112.723,112.845,112.705,112.8
1458846000,112.801,112.845,112.788,112.824
1458849600,112.828,112.901,112.793,112.896
1458853200,112.896,112.904,112.797,112.818
1458856800,112.817,112.859,112.747,112.781
1458860400,112.781,112.864,112.753,112.832
1458864000,112.838,113.297,112.811,113.22
1458867600,113.221,113.32,113.151,113.185
1458871200,113.185,113.228,112.998,113.058
1458874800,113.058,113.17,113.054,113.111
1458878400,113.111,113.157,113.082,113.136
1458882000,113.136,113.162,113.059,113.072
1458885600,113.072,113.148,112.927,112.984
1458889200,112.984,113.068,112.885,113.068
1458892800,113.068,113.087,112.944,112.966
1458896400,112.963,113.03,112.929,113.008
1458900000,113.008,113.011,112.963,112.995
1458903600,112.995,113.035,112.972,113.027
1458907200,113.027,113.1,112.992,113.077
1458910800,113.077,113.109,113.072,113.097
1458914400,113.098,113.125,113.088,113.101
1458918000,113.101,113.117,113.014,113.062
1458921600,113.062,113.13,113.06,113.127
1458925200,113.127,113.131,113.114,113.13
1458928800,113.13,113.143,113.118,113.132
1458932400,113.132,113.167,113.094,113.119
1458936000,113.119,113.144,113.011,113.066
1458939600,113.066,113.066,113.066,113.066
1458943200,113.066,113.066,113.066,113.066
1458946800,113.066,113.066,113.066,113.066
1458950400,113.066,113.066,113.066,113.066
1458954000,113.066,113.066,113.066,113.066
1458957600,113.066,113.066,113.066,113.066
1458961200,113.066,113.066,113.066,113.066
1458964800,113.066,113.066,113.066,113.066
1458968400,113.066,113.066,113.066,113.066
1458972000,113.066,113.066,113.066,113.066
1458975600,113.066,113.066,113.066,113.066
1458979200,113.066,113.066,113.066,113.066
1458982800,113.066,113.066,113.066,113.066
1458986400,113.066,113.066,113.066,113.066
1458990000,113.066,113.066,113.066,113.066
1458993600,113.066,113.066,113.066,113.066
1458997200,113.066,113.066,113.066,113.066
1459000800,113.066,113.066,113.066,113.066
1459004400,113.066,113.066,113.066,113.066
1459008000,113.066,113.066,113.066,113.066
1459011600,113.066,113.066,113.066,113.066
1459015200,113.066,113.066,113.066,113.066
1459018800,113.066,113.066,113.066,113.066
1459022400,113.066,113.066,113.066,113.066
1459026000,113.066,113.066,113.066,113.066
1459029600,113.066,113.066,113.066,113.066
1459033200,113.066,113.066,113.066,113.066
1459036800,113.066,113.066,113.066,113.066
1459040400,113.066,113.066,113.066,113.066
1459044000,113.066,113.066,113.066,113.066
1459047600,113.066,113.066,113.066,113.066
1459051200,113.066,113.066,113.066,113.066
1459054800,113.066,113.066,113.066,113.066
1459058400,113.066,113.066,113.066,113.066
1459062000,113.066,113.066,113.066,113.066
1459065600,113.066,113.066,113.066,113.066
1459069200,113.066,113.066,113.066,113.066
1459072800,113.066,113.066,113.066,113.066
1459076400,113.066,113.066,113.066,113.066
1459080000,113.066,113.066,113.066,113.066
1459083600,113.066,113.066,113.066,113.066
1459087200,113.066,113.066,113.066,113.066
1459090800,113.066,113.066,113.066,113.066
1459094400,113.066,113.066,113.066,113.066
1459098000,113.066,113.066,113.066,113.066
1459101600,113.066,113.066,113.066,113.066
1459105200,113.066,113.066,113.066,113.066
1459108800,113.066,113.066,113.066,113.066
1459112400,113.157,113.328,113.108,113.328
1459116000,113.329,113.395,113.225,113.37
1459119600,113.371,113.482,113.3,113.461
1459123200,113.464,113.554,113.376,113.501
1459126800,113.5,113.585,113.489,113.572
1459130400,113.571,113.686,113.569,113.664
1459134000,113.664,113.687,113.6,113.609
1459137600,113.609,113.626,113.438,113.52
1459141200,113.519,113.656,113.489,113.523
1459144800,113.525,113.559,113.483,113.555
1459148400,113.557,113.61,113.481,113.538
1459152000,113.538,113.548,113.4,113.429
1459155600,113.433,113.511,113.42,113.468
1459159200,113.469,113.553,113.46,113.549
1459162800,113.55,113.558,113.483,113.505
1459166400,113.506,113.506,113.28,113.354
1459170000,113.353,113.384,113.149,113.259
1459173600,113.264,113.35,113.223,113.247
1459177200,113.247,113.308,113.225,113.295
1459180800,113.294,113.404,113.257,113.353
1459184400,113.353,113.392,113.313,113.329
1459188000,113.33,113.361,113.25,113.267
1459191600,113.267,113.414,113.264,113.398
1459195200,113.397,113.471,113.384,113.438
1459198800,113.438,113.468,113.369,113.391
1459202400,113.391,113.463,113.383,113.437
1459206000,113.437,113.479,113.344,113.368
1459209600,113.368,113.436,113.226,113.361
1459213200,113.36,113.659,113.346,113.571
1459216800,113.571,113.657,113.525,113.569
1459220400,113.568,113.583,113.428,113.526
1459224000,113.525,113.735,113.509,113.639
1459227600,113.637,113.676,113.529,113.57
1459231200,113.571,113.661,113.559,113.621
1459234800,113.622,113.735,113.61,113.692
1459238400,113.689,113.729,113.571,113.722
1459242000,113.723,113.802,113.475,113.537
1459245600,113.537,113.698,113.514,113.648
1459249200,113.648,113.692,113.534,113.566
1459252800,113.566,113.584,113.405,113.441
1459256400,113.44,113.486,113.362,113.407
1459260000,113.417,113.466,113.243,113.397
1459263600,113.398,113.459,113.264,113.339
1459267200,113.34,113.422,112.867,112.982
1459270800,112.982,112.993,112.768,112.768
