time,open,high,low,close,volume
1609459200,100.000000,100.009759,99.292407,99.511525,892.933765
1609462800,99.511525,99.865967,99.221789,99.859623,309.527141
1609466400,99.859623,100.054711,99.092507,99.112373,480.487573
1609470000,99.112373,99.557868,98.952310,99.035842,655.219819
1609473600,99.035842,99.352140,98.979493,99.124171,702.597449
1609477200,99.124171,99.892853,99.042190,99.793107,396.765344
1609480800,99.793107,100.068558,99.629282,99.797425,399.988804
1609484400,99.797425,99.947661,99.456269,99.668653,375.235162
1609488000,99.668653,99.702447,99.145539,99.243444,568.769205
1609491600,99.243444,99.768564,99.129171,99.740941,311.053373
1609495200,99.740941,99.821816,99.538344,99.765192,360.928977
1609498800,99.765192,100.206012,99.613729,100.063010,265.637306
1609502400,100.063010,100.092355,99.891946,100.029892,726.294644
1609506000,100.029892,100.212757,99.926680,100.045694,591.075070
1609509600,100.045694,100.918805,100.042015,100.772647,363.704741
1609513200,100.772647,100.892719,100.319253,100.517618,365.522951
1609516800,100.517618,100.694912,100.186311,100.538749,170.614322
1609520400,100.538749,100.601304,100.180815,100.240764,282.546529
1609524000,100.240764,100.460879,100.140718,100.328891,824.883128
1609527600,100.328891,100.950375,100.061876,100.881374,601.763651
1609531200,100.881374,101.105797,100.817974,100.893407,423.076416
1609534800,100.893407,101.093515,100.351828,100.461702,243.411458
1609538400,100.461702,100.484227,99.835944,99.957765,299.566071
1609542000,99.957765,100.738655,99.905129,100.419756,513.688494
1609545600,100.419756,101.463114,100.332244,101.459212,510.481573
1609549200,101.459212,101.798864,101.437813,101.695731,273.608611
1609552800,101.695731,101.854006,101.376252,101.410376,453.630400
1609556400,101.410376,102.029641,101.255812,101.820433,205.917280
1609560000,101.820433,102.383944,101.621581,102.235971,262.631439
1609563600,102.235971,102.719035,102.018861,102.424727,601.347625
1609567200,102.424727,102.651082,102.298304,102.626355,333.992938
1609570800,102.626355,102.725417,102.454038,102.656251,375.630378
1609574400,102.656251,102.661279,102.337916,102.498617,253.731074
1609578000,102.498617,102.574434,101.915148,101.977498,341.911909
1609581600,101.977498,102.149669,101.760753,101.979810,277.638269
1609585200,101.979810,102.402150,101.831050,102.248988,549.214633
1609588800,102.248988,103.228957,102.037702,103.078408,294.270623
1609592400,103.078408,103.129135,102.581171,102.791014,1395.607897
1609596000,102.791014,102.934454,102.521712,102.555822,245.675349
1609599600,102.555822,102.592088,101.965411,102.177031,657.898838
1609603200,102.177031,102.258930,102.122878,102.160381,483.161514
1609606800,102.160381,103.062401,102.090281,102.928203,385.243352
1609610400,102.928203,103.672361,102.923666,103.588787,521.236666
1609614000,103.588787,103.874281,103.527585,103.765639,418.260974
1609617600,103.765639,104.053092,103.660333,103.854698,634.718944
1609621200,103.854698,104.002466,103.747904,103.864099,360.769500
1609624800,103.864099,103.898145,103.517629,103.627894,419.116372
1609628400,103.627894,103.901769,103.235271,103.263339,876.851658
1609632000,103.263339,104.432997,102.982158,104.412917,392.631710
1609635600,104.412917,105.027916,104.406020,104.963468,480.492431
1609639200,104.963468,105.077742,103.983760,104.151100,265.938719
1609642800,104.151100,104.309834,103.499691,103.607089,486.518535
1609646400,103.607089,103.836197,103.189307,103.245421,472.128745
1609650000,103.245421,103.432529,103.079612,103.319651,306.096879
1609653600,103.319651,103.768245,103.095490,103.671944,826.098935
1609657200,103.671944,103.681297,103.235381,103.256294,351.431737
1609660800,103.256294,103.654651,102.988738,103.495749,578.583994
1609664400,103.495749,103.630663,103.054333,103.205969,615.095044
